scenario N1 N2 N3 N4 N5 ta raa t1 N6 t2 N7 t3 Nanc
1 18395 26672 118216 28125 10203 1020 0.0934780538082123 2974 1736839 3253 119470 36676 2935184
1 54269 37929 537675 2293216 145303 2054 0.328506946563721 10051 770507 24080 114430 58724 2943535
1 160277 2187176 3117841 10009 421987 876 0.145296394824982 3796 351096 27409 128173 76807 7613105
1 29022 21861 747044 2274545 15845 757 0.0948309674859047 1469 57144 11340 59414 40678 7976604
1 69347 36217 29949 10519 2756069 340 0.187950387597084 3799 24099 11823 146486 110317 3741045
1 65720 537526 51325 1258840 250333 6086 0.0731845200061798 19574 21848 21693 48819 64124 5892058
1 568037 50130 699103 547069 37123 5558 0.345697849988937 9622 2572937 27028 528711 240439 1975356
1 248664 214808 417860 1507740 217112 6931 0.148438900709152 10145 4605801 47124 403514 304969 2410063
1 180610 375727 1150022 305484 80284 313 0.246495053172112 12142 252384 102706 223685 143746 9467640
1 15752 116138 742103 34074 23272 315 0.313509106636047 9379 5439970 17902 19910 20085 571126
1 59581 188865 10777 399588 27828 711 0.129510670900345 3951 1413636 55680 427921 63893 6587672
1 29287 17516 7011494 2012015 44022 385 0.157569259405136 817 302925 7588 35741 21465 3493317
1 55789 94353 324003 18301 151114 1360 0.12219575792551 2409 2909947 51274 75547 78674 2491267
1 148129 183199 565015 314465 48140 167 0.084252841770649 13240 731603 120920 413715 139881 9002357
1 255003 61077 1246008 248684 41934 401 0.143502235412598 6784 165775 7172 1405178 333050 4577190
1 274089 14432 93591 24082 5121847 186 0.322820454835892 1751 308338 2667 597811 347944 7049552
1 74433 382688 262886 8405119 54588 1791 0.170955330133438 4047 122067 12757 139749 61605 8569174
1 200542 42647 455466 1247433 12804 264 0.241312325000763 2162 909414 22290 191272 232611 2710952
1 31937 93160 2307075 24341 307153 431 0.0580496452748775 4609 6874011 9882 441907 95646 4229452
1 20874 67168 2365064 27492 20250 1387 0.364219456911087 8230 80538 9516 106638 28946 7133797
1 140335 3540217 3290426 58242 46181 1495 0.0507558174431324 13389 40132 14417 246332 112301 1907478
1 842460 7107985 72527 5627077 32195 4244 0.148571699857712 12916 130277 31876 778342 744536 3755293
1 75904 67919 1986646 48694 137817 869 0.418519645929337 6430 241392 30756 59675 37035 752574
1 89391 62558 89153 62362 846790 6164 0.168396592140198 15644 214111 26958 316928 60805 9926534
1 64494 21291 233088 11195 34934 935 0.0566825419664383 1832 1198646 16505 283179 149637 4607214
1 176135 35921 30713 168640 95541 2366 0.0657506808638573 32360 44191 39801 3425083 97867 3672179
1 443476 311615 1083263 79155 47599 3866 0.0628157928586006 9133 2300974 50296 209699 150868 4398869
1 183609 61971 62372 32033 7525986 536 0.291436642408371 6978 53896 18645 197177 73398 1152344
1 85206 223772 18368 1636120 783906 289 0.198037713766098 30688 100032 45692 811292 129617 3582163
1 65949 100173 182670 36716 26507 258 0.262483596801758 3874 448193 6650 1236290 72290 7607961
1 46621 225464 537531 43033 66250 318 0.128415212035179 18860 26658 23454 2953232 105689 4944746
1 61653 41976 7631243 49418 30511 1013 0.448395907878876 6702 44914 13895 54039 19453 528819
1 26806 1092534 62782 13930 84816 1801 0.0748545080423355 4553 149894 11109 13529 20891 7233941
1 99738 27044 97355 1043770 16080 974 0.441680312156677 5243 553269 23339 30970 62286 6348888
1 36429 47565 3155294 483710 100887 2709 0.261437118053436 11080 37138 17897 1078239 48401 2266711
1 28946 6771250 264907 2056571 47883 203 0.381374537944794 6023 1101649 18773 28450 34338 941262
1 63390 395443 13610 62953 15445 240 0.0544012598693371 6498 34476 20113 89780 57068 869984
1 988547 2572388 8525047 928038 101589 329 0.184723317623138 32700 802131 52170 1949184 557912 6961592
1 336158 513906 27104 10832 19889 1177 0.106816858053207 2833 265582 49736 1389180 317007 3069509
1 1922301 72625 2577195 105800 66692 367 0.0990855470299721 21670 35920 40875 4929438 153850 4300555
1 156917 563719 3568124 19469 68792 420 0.194691643118858 10303 463517 33814 306271 108287 3927165
1 20400 12922 74489 110514 136497 739 0.180304855108261 4722 2513470 5707 49646 22438 7358796
1 10150 329562 16322 50147 138856 2135 0.269650727510452 14090 129667 19846 14467 20132 3943453
1 66289 24951 620211 455453 10902 4408 0.0533512458205223 7038 44721 9385 258586 42541 3331934
1 222713 1183415 10427 12174 24944 314 0.150575086474419 929 156635 1874 648297 247699 6892021
1 562171 16050 50693 29780 40024 171 0.138606160879135 6272 63167 21372 4827565 278959 4551306
1 895509 318281 711048 67615 171255 8378 0.0630985721945763 17331 110965 68636 5265507 457622 8774136
1 28134 37547 542262 89864 1349036 794 0.254935413599014 1234 32430 11312 141051 32284 4331214
1 62922 61905 30556 24679 57888 213 0.180762514472008 5381 310489 17637 37110 25071 3390724
1 1261750 175116 156352 711448 165804 2853 0.117278434336185 43485 24406 51407 636427 371229 9923733
1 75012 465186 4561728 82795 66638 2045 0.27300962805748 5367 5165615 22208 41730 74721 2080417
1 483041 110558 240833 11660 39017 868 0.115722477436066 3390 3742128 89558 1801724 454831 2425125
1 512767 18012 9592180 80858 1109789 4918 0.105363436043262 10169 2153247 16442 723330 349145 7395524
1 228779 87229 3043167 8116140 32838 856 0.145967945456505 2111 431143 75907 26190 95975 4381305
1 264137 25328 7426741 533315 5001718 289 0.21293893456459 3988 1904245 15765 193605 177585 7867616
1 50942 26606 1402315 2425152 13165 342 0.295155555009842 1086 26210 3109 4008080 99152 4259344
1 45707 24411 26575 10655 10261 191 0.145681083202362 896 16860 2930 46284 23786 1431622
1 13346 5871862 392652 141876 180787 155 0.248689383268356 8362 18519 10220 32143 16804 2959550
1 20212 78764 8355595 314414 23374 206 0.0717321634292603 1450 88228 12107 185236 21491 6734546
1 387906 309200 299428 45433 15574 1760 0.0807284563779831 3443 1016948 33901 372170 169385 1997252
1 18786 14286 3144210 342708 58893 227 0.16780611872673 563 22920 1164 22746 16818 1494668
1 66418 13100 63246 7444690 31707 6530 0.211202353239059 10365 1902829 11268 44986 42477 765383
1 45041 75665 642263 36291 98022 1256 0.494312137365341 4024 36087 11277 2491618 116096 3364889
1 883414 148902 7940866 55985 34095 200 0.322905123233795 4824 14397 8322 2306508 535971 2793297
1 228924 3825962 493995 264805 521335 852 0.0943955630064011 11208 70889 42732 173601 136989 7085983
1 193227 1293120 2131409 146894 803769 5399 0.153006672859192 28922 1309543 41177 136748 161463 3647670
1 45947 16532 74816 39116 22651 553 0.211253553628922 1023 2137194 8473 100938 73940 752423
1 18401 16025 210602 78315 23183 464 0.0516971983015537 757 164960 7876 23653 26544 1499943
1 63561 6650489 40476 14043 485945 206 0.156472831964493 2635 20800 14608 84105 60923 1584849
1 207316 68097 215437 28090 437235 1506 0.0585138984024525 3096 5648120 15749 229169 206320 983376
1 26071 19516 6813607 467231 16125 912 0.0631873905658722 1791 39220 3550 15221 6510 5544019
1 22953 16011 1073352 292415 320650 279 0.295845776796341 4730 94260 6683 20567 10455 1438106
1 75883 42878 3346706 1411868 15946 479 0.328232407569885 4804 245939 13433 405520 32241 1511875
1 104418 9910871 7366155 1077026 123096 13432 0.380225837230682 22298 104668 51171 664249 147048 3871484
1 215908 970685 4058746 524310 92780 12588 0.454842537641525 15718 276549 24399 1074508 428708 1521320
1 14687 114440 1041201 16223 22664 584 0.0905501991510391 5200 826091 17689 229455 60767 6754458
1 312236 186613 449584 1132144 82798 14191 0.329833954572678 22355 6161117 71505 347652 91016 2216461
1 39741 2261435 203027 19965 21158 893 0.0558966025710106 2380 441354 2811 87882 19154 2147201
1 596658 192434 50442 15867 905539 294 0.379214525222778 2988 2477651 29277 438112 468570 4530162
1 47718 9002622 144667 580275 15917 2916 0.254017889499664 3661 65355 15044 56507 22341 5129461
1 45101 34308 14016 2845693 1020431 1228 0.0858722403645515 2665 31608 3519 26783 18919 385635
1 134819 23894 842877 4047073 6074565 1532 0.205719694495201 2046 14504 6143 374088 92413 2397540
1 38809 233392 205342 32747 7777753 167 0.238287687301636 2965 4022481 20925 1271167 116120 5031358
1 12024 5351231 78036 109229 37944 4765 0.152313232421875 5623 146076 25702 30947 27375 9335820
1 395049 25890 101526 220781 79193 223 0.189203262329102 14501 16565 20637 410769 81664 7512334
1 31884 142104 1181143 281417 1951274 300 0.457864999771118 1013 85713 13360 36365 27107 9990475
1 27364 114292 2425520 125860 2969400 7927 0.306361347436905 20585 2281653 22921 116529 31431 3340952
1 13030 46701 19484 855698 1970734 1396 0.381093233823776 7082 1691567 8464 23032 16762 278895
1 80988 4992059 7468068 85976 3259096 772 0.127777576446533 4661 42534 14720 217970 114553 1438494
1 148410 115444 2709101 35920 464720 2683 0.16751255095005 3404 8007980 9089 189393 110185 7614155
1 293660 112652 15190 35821 983305 1872 0.299965769052505 11489 30192 38905 1880773 311444 1828612
1 3563168 12810 1294990 16969 12669 1639 0.116514906287193 5047 1427628 7778 62505 23557 5852125
1 627746 581856 39580 264134 1431435 1580 0.108950339257717 124423 2109131 176771 22874 204076 4187237
1 66448 8685338 2202530 3936638 66286 337 0.364784210920334 8641 738321 12781 101976 89289 947707
1 116687 58856 197370 1694989 3831975 1472 0.287402242422104 2351 598008 21604 1269514 194513 5403630
1 19784 4653936 7495202 45124 13654 201 0.0940016806125641 1352 118580 3510 56499 34660 475413
1 57300 41529 13837 1634597 38247 1016 0.138208746910095 2300 55062 4666 286934 61451 1113607
1 42052 88044 4142888 19563 18748 2643 0.171723917126656 4540 4384802 14255 1973394 406728 3311168
1 275597 44008 3393951 34372 287859 932 0.226631462574005 5673 3511765 37829 67858 75157 663686
1 171805 19095 90490 12318 16892 2717 0.157701581716537 3117 483987 15038 3724588 161095 8413602
1 447527 1071235 547184 11833 28198 1125 0.138497844338417 2054 142766 4080 436048 372742 5591485
1 276654 864306 7688811 10614 1537683 200 0.0793938338756561 2495 6485329 10024 108717 67194 9569521
1 60297 725883 3657293 2488624 173915 291 0.29815086722374 34331 769207 136648 2748122 177678 4666964
1 13081 342827 22068 225292 11956 1621 0.0862888991832733 4663 1119777 7210 64596 20436 737145
1 15309 180976 6363490 29410 4810172 155 0.11433594673872 2612 26893 8680 269566 16603 3646035
1 16195 12313 120937 184457 73745 250 0.167205214500427 994 487304 3667 60995 19491 4585877
1 113086 448111 125950 300102 382081 5233 0.0580027587711811 12606 326442 25013 332268 71236 3488585
1 22554 9151296 6166967 9967697 12278 1053 0.35915669798851 1695 17211 5528 21440 14525 889326
1 499302 1365237 213232 125894 214286 9238 0.0604071207344532 20111 1669106 38210 248877 372242 8423050
1 130443 112052 87629 11822 31491 477 0.209156095981598 5613 2666300 17028 572341 103394 783777
1 117302 962561 2346640 26872 110688 165 0.194474086165428 8273 560182 16357 959516 178984 1750593
1 101495 16815 82369 434029 11828 1395 0.0713456869125366 5011 579868 8042 181437 82481 284962
1 1608841 114549 53986 42911 46047 1793 0.100957341492176 12376 186879 18380 402984 80757 861679
1 300651 420565 13030 42185 21862 963 0.0512920953333378 2078 519948 2913 172270 169818 5236080
1 195115 194535 12432 1485323 277093 473 0.162209376692772 2967 206657 67191 207124 96712 2967325
1 137426 2536429 10325 6337436 2770164 248 0.265855133533478 2772 531029 65056 252225 186302 8573243
1 118813 37410 365581 1576902 426507 3849 0.101753391325474 9354 1918291 14653 36836 27467 2568741
1 97442 3564977 834673 3358345 549863 11608 0.069225937128067 44694 189042 59208 185447 144195 2198156
1 83234 6874371 269271 37843 7623437 2085 0.469849765300751 3374 1679845 107570 192033 204616 4218440
1 32545 27393 199307 332090 15127 200 0.174613296985626 2242 8176464 12794 147584 67809 1233081
1 21925 39159 115332 33358 32102 2506 0.114077933132648 2922 11877 3968 974984 26953 2921079
1 80910 35128 417767 157464 78368 203 0.175074249505997 8827 3743356 18284 1581315 50927 4623683
1 2654892 222686 74629 247254 5751879 527 0.0789789333939552 62857 3035945 110709 2258577 597477 8828771
1 19275 16136 19905 371936 9206781 485 0.14647912979126 1924 583337 6126 38990 15565 557474
1 46811 219379 238511 43312 40928 775 0.309965997934341 1269 3839066 22893 15653 35721 1033203
1 32845 1876265 207721 18604 123565 360 0.214021474123001 399 67258 10192 69523 26415 8536885
1 53220 3394397 38885 19963 2082114 756 0.0712121278047562 3617 10507 7590 58126 27950 1637184
1 105659 80035 307244 38820 192397 278 0.133970096707344 9810 46368 33586 235009 35643 3680615
1 13898 32109 81811 4146452 26783 490 0.0507075823843479 1589 1777063 3345 89807 45944 373119
1 1100873 4979974 16651 16744 20207 632 0.0985440835356712 6564 290226 7821 1146041 305122 5543088
1 32942 69017 1863742 159177 512197 648 0.0501381978392601 3124 42088 4868 108120 33406 7735185
1 27775 55576 592649 4444943 4788279 328 0.0546945072710514 495 153570 1873 157179 33831 3788182
1 43933 11186 18416 27542 49372 324 0.120101399719715 443 698802 5790 83998 20170 3641369
1 96383 175704 27657 14223 1039731 432 0.0858098864555359 1274 46514 11480 225958 102805 806709
1 842761 11586 6407758 5872253 12826 703 0.0926268398761749 1940 222421 2897 1631355 346126 9983746
1 12586 11969 1421241 189401 84312 1400 0.421802878379822 2097 37487 2847 76105 29646 181283
1 225356 41837 46326 5840149 6244564 272 0.130368113517761 2372 911161 7993 447444 308734 2763317
1 145427 223869 779101 10821 515170 850 0.331965267658234 5986 232067 41761 1388279 561479 2206862
1 243769 7089301 3683677 88690 63992 211 0.207054644823074 7386 37775 16761 1027553 393926 3362356
1 204092 1076267 2143673 10419 56178 2166 0.117430634796619 3847 872824 13333 724753 202107 4424334
1 270198 20913 1104958 435672 306435 5974 0.227805778384209 19661 2022188 22164 195230 104841 2353855
